STATE,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price Date
Karnataka,bangalore,Ramanagara,Tomato,Tomato,FAQ,2000,2800,2500,6/06/2023
Karnataka,bangalore,Doddaballa Pur,Onion,Onion,FAQ,1400,2000,1700,6/06/2023
Karnataka,bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,600,500,6/06/2023
Karnataka,bangalore,Doddaballa Pur,Tomato,Tomato,FAQ,1000,1600,1300,6/06/2023
Karnataka,bellary,Hospet,Tomato,Tomato,FAQ,700,1000,800,6/06/2023
Karnataka,bagalkot,Bagalakot,Onion,Onion,FAQ,400,1300,800,6/06/2023
Karnataka,davangere,Davangere,Onion,Onion,FAQ,300,1200,800,6/06/2023
Karnataka,kolar,Chintamani,Tomato,Tomato,FAQ,330,2000,1200,6/06/2023
Karnataka,kolar,Bangarpet,Onion,Local,FAQ,1500,2000,1700,6/06/2023
Karnataka,mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1400,1500,1500,6/06/2023
Karnataka,kolar,Chintamani,Onion,Onion,FAQ,1000,1500,1250,6/06/2023
Karnataka,chikmagalur,Bagepalli,Tomato,Tomato,FAQ,560,1000,800,6/06/2023
Karnataka,bangalore,Bangalore,Potato,Local,FAQ,1600,1800,1700,6/06/2023
Karnataka,bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,2100,2500,2200,6/06/2023
Karnataka,chikmagalur,Bagepalli,Potato,Potato,FAQ,2000,2600,2300,6/06/2023
Karnataka,shimoga,Shimoga,Tomato,Tomato,FAQ,2000,2600,2300,6/06/2023
Karnataka,mysore,Mysore (Bandipalya),Tomato,Tomato,FAQ,1600,1800,1700,6/06/2023
Karnataka,dharwad,Hubli (Amaragol),Onion,Puna,FAQ,350,1500,780,6/06/2023
Karnataka,belgaum,Belgaum,Onion,Pusa-Red,FAQ,800,1400,1000,6/06/2023
Karnataka,bellary,Hospet,Potato,Potato,FAQ,1300,1500,1400,6/06/2023
Karnataka,mandya,K.R. Pet,Tomato,Tomato,FAQ,1000,1000,1000,6/06/2023
Karnataka,bangalore,Bangalore,Onion,Puna,FAQ,800,1500,1200,6/06/2023
Karnataka,mysore,Mysore (Bandipalya),Onion,Other,FAQ,800,1400,1000,6/06/2023
Karnataka,tumkur,Tumkur,Onion,Other,FAQ,810,1150,920,6/06/2023
Karnataka,udupi,Udupi,Potato,Potato,FAQ,1600,1800,1700,6/06/2023
Karnataka,kolar,Chickkaballapura,Tomato,Tomato,FAQ,500,2800,1600,6/06/2023
Karnataka,chikmagalur,Bagepalli,Onion,Beelary-Red,FAQ,2000,3000,2600,6/06/2023
